Date,US,Russia,UK,France,China
1945,2,0,0,0,0
1946,9,0,0,0,0
1947,13,0,0,0,0
1948,50,0,0,0,0
1949,170,1,0,0,0
1950,299,5,0,0,0
1951,438,25,0,0,0
1952,841,50,0,0,0
1953,1169,120,1,0,0
1954,1703,150,5,0,0
1955,2422,200,10,0,0
1956,3692,426,50,0,0
1957,5543,660,58,0,0
1958,7345,863,60,0,0
1959,12298,1048,78,0,0
1960,18638,1627,105,0,0
1961,22229,2492,155,0,0
1962,25540,3346,211,0,0
1963,28133,4259,256,0,0
1964,29463,5242,271,4,1
1965,31139,6144,271,32,5
1966,31175,7091,281,36,20
1967,31255,8400,355,36,25
1968,29561,9490,317,36,35
1969,27552,10671,306,36,50
1970,26008,11736,375,36,75
1971,25830,13279,412,45,100
1972,26516,14600,423,70,130
1973,27835,15878,500,116,150
1974,28537,17286,500,145,170
1975,27519,19235,500,188,180
1976,25914,22165,500,212,180
1977,25542,24281,500,228,180
1978,24418,26169,500,235,190
1979,24138,28258,500,235,195
1980,24104,30665,500,250,205
1981,23208,32146,500,274,210
1982,22886,33486,385,274,216
1983,23305,35130,380,279,218
1984,23459,36825,350,280,220
1985,23368,38582,350,360,222
1986,23317,40159,350,355,224
1987,23575,38107,350,420,226
1988,23205,36538,350,410,228
1989,22217,35078,350,410,230
1990,21392,32980,350,505,232
1991,19008,29154,350,540,234
1992,13708,26734,250,540,234
1993,11511,24403,250,525,234
1994,10979,21339,250,510,234
1995,10904,18179,234,500,234
1996,11011,15942,203,450,234
1997,10903,15542,203,450,232
1998,10732,14368,240,450,232
1999,10685,13188,240,450,232
2000,10577,12188,280,470,232
2001,10526,11152,280,350,235
2002,10457,10114,280,350,235
2003,10027,9076,280,350,235
2004,8570,8038,280,350,235
2005,8360,7000,280,350,235
2006,7853,6643,225,350,235
2007,5709,6286,225,350,235
2008,5273,5929,225,300,235
2009,5113,5527,225,300,240
2010,5066,5215,225,300,240
2011,4897,4858,225,300,240
2012,4881,4750,225,300,240
2013,4804,4650,225,300,250
2014,4717,4600,220,300,250
2015,4571,4500,220,300,260
2016,4018,4490,215,300,260
2017,4000,4300,215,300,270
2018,4000,4350,215,300,280
2019,3800,4490,215,300,290
2020,3800,4310,195,290,320